;DR 1+;DR 1-;DR 2+;DR 2-;DR 3+;DR 3-;DR 4+;DR 4-;DR 5+;DR 5-;DR 6+;DR 6-;DR 7+;DR 7-;DR 8+;DR 8-;DR 9+;DR 9-;DR 10+;DR 10-;DR 11+;DR 11-;DR 20+
CFH;1.381942e-05;3.3323083;0.002471102;0.033420682;0.025261557;0.001010382;0.00020093357;0.109148294;0.0027975605;0.007851767;0.16119106;6.9428395e-05;0.00010012359;0.0054886504;7.841233e-05;0.0056442884;7.442117e-05;0.001764819;9.62061e-07;0.18229125;4.8924508e-06;0.19676925;0.0104019595
CFHR2;0.00350814;0.275961;0.001915693;0.05376045;0.08920255;0.0024114528;0.009459629;0.025119023;0.010170698;0.023832642;0.27713528;6.701128e-05;0.00010234181;0.009347841;7.3563765e-06;0.04294635;0.00010727126;0.00075937563;1.5950907e-06;0.22037943;4.2063544e-05;0.022548057;0.019567471
CFHR5;0.004123927;0.25926062;0.0037156704;0.072576635;0.04112207;0.0027800475;0.012181822;0.024933267;0.006339737;0.23462988;0.12809312;0.0010536112;8.891068e-05;0.059093967;2.9833653e-05;0.044641208;0.0001197114;0.0027778011;1.9268005e-06;0.15949123;4.522073e-05;0.029299501;0.0064762193
CFP;0.011510375;0.079467535;0.01862324;0.07025208;0.028591344;0.012561394;0.0055124913;0.47632158;0.02351768;0.07084054;0.10457716;0.020587664;0.0011449814;0.023151202;8.9083105e-06;0.058488566;0.00010902301;0.02607478;1.8785544e-05;0.10962207;4.6370358e-05;0.07081254;0.004300687
CGA;0.013761953;0.23954663;0.0036647602;0.15084848;0.06273011;0.008057833;0.0065691615;0.027951315;0.019975374;0.111316584;0.20071335;0.0030311204;0.00042482675;0.02036037;3.77657e-05;0.089854196;0.00021249049;0.004047958;5.4667294e-06;0.18094322;8.6756234e-05;0.040957235;0.0032286188
CGGBP1;0.03881597;0.32651082;7.1107104e-05;0.53033555;0.22092286;0.00024703998;0.016036335;0.07592486;0.043909516;0.009270094;0.1806777;0.039174736;2.8222398e-06;0.124115735;0.00037565528;0.14303623;4.2014595e-05;0.1373901;9.560246e-06;0.17602904;3.5540794e-05;0.14005913;0.005623698
CH25H;0.0044099092;1.8140022;0.00552725;0.055839367;0.03507737;0.02010536;0.013032703;0.030134307;0.01275545;0.01988684;0.097400054;8.819637e-05;6.901374e-05;0.013570847;5.9613834e-05;0.086442985;0.0011178248;0.00014684978;2.3259913e-06;0.081792735;0.00016846537;0.02074736;0.0040329266
CHAF1A;0.013648819;0.012244666;4.116211e-05;0.07048932;0.0008935281;0.0018833254;0.0005845794;0.024386812;3.2399952e-05;6.184259;0.008241214;0.0035699713;5.6190445e-05;0.00091193436;9.07051e-05;0.0008723291;7.56212e-08;0.15787625;7.0846767e-07;0.018840607;3.1869175e-05;0.019345691;0.005338303
CHGA;0.017511684;0.10117997;2.6515412e-05;0.19995667;0.014646585;0.0065912576;2.5747926;0.0028670311;0.015563712;0.0021587552;0.008138237;0.00040370852;2.8108893e-06;0.0095540015;3.777735e-07;1.2389435;0.00067788066;1.4954676e-05;5.5506246e-07;0.14659946;3.7219336e-06;0.0137343;0.01384502
CHI3L1;0.00022036271;1.3888695;0.0018850295;0.04377545;0.0021757265;0.004543671;0.0029346584;0.5029278;0.0023877479;0.08412599;0.05239048;0.002598495;0.0010562863;0.00021014248;0.00046432507;3.353816e-05;0.00031128206;0.00018869549;1.7088423e-07;0.8996048;8.302032e-05;0.002448771;1.0607966
CHL1;0.00012374492;0.035494335;0.0006516092;0.011499974;0.012500658;0.0006921789;0.002683214;0.0023857406;5.6191107e-06;11.225015;0.03463277;0.0005784937;3.1100244e-05;0.004863295;1.4263045e-06;0.021225821;1.1815688e-05;0.0006389051;2.2214287e-07;0.041920092;6.450564e-06;0.0032902374;0.010914643
CHRDL1;0.01366632;0.6314039;0.017101744;0.0777614;0.041617125;0.005245721;0.0435752;0.010871017;0.0086795315;0.5376312;0.13415807;0.015491592;0.00069282006;0.034037355;1.5621225e-05;0.0595299;0.00015829326;0.0038574943;4.232108e-06;0.18278751;0.00020232817;0.019782774;0.0059103123
